"ProcessName","ExecutablePath","ProcessId","ParentProcessId","CommandLine","Priority","Date"
"SnagitEditor.exe","C:\Program Files (x86)\TechSmith\Snagit 11\snagiteditor.exe","3068","2460","""C:\Program Files (x86)\TechSmith\Snagit 11\snagiteditor.exe"" /X","8","1/28/2014 7:32:32 AM"
"UcMapi.exe","C:\Program Files (x86)\Microsoft Lync\UcMapi.exe","6552","808","""C:\Program Files (x86)\Microsoft Lync\UcMapi.exe"" -Embedding","8","1/28/2014 7:33:20 AM"
"cmd.exe","C:\Windows\system32\cmd.exe","6780","6684","cmd","8","1/28/2014 7:33:35 AM"
"conhost.exe","C:\Windows\system32\conhost.exe","6788","580","\??\C:\Windows\system32\conhost.exe ""-1286171130-140101530974065737734666241768080042221143155881360850676143686202","8","1/28/2014 7:33:35 AM"
"UNS.exe","C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\UNS\UNS.exe","6912","692","""C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\UNS\UNS.exe""","8","1/28/2014 7:33:39 AM"
"powershell_ise.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe","7008","6780","powershell_ise ","8","1/28/2014 7:33:44 AM"
"RemoteDesktopManager.exe","U:\tools\RDP\RemoteDesktopManager.exe","6532","3040","""U:\tools\RDP\RemoteDesktopManager.exe"" ","8","1/28/2014 7:34:54 AM"
"Microsoft.EnterpriseManagement.Monitoring.Console.exe","C:\Program Files\System Center 2012\Operations Manager\Console\Microsoft.EnterpriseManagement.Monitoring.Console.exe","6836","3040","""C:\Program Files\System Center 2012\Operations Manager\Console\Microsoft.EnterpriseManagement.Monitoring.Console.exe"" ","8","1/28/2014 7:40:23 AM"
"WINWORD.EXE","C:\PROGRA~2\MICROS~1\Office14\WINWORD.EXE","7476","3040","""C:\PROGRA~2\MICROS~1\Office14\WINWORD.EXE"" ","8","1/28/2014 8:14:23 AM"
"swcli7.exe","C:\Program Files (x86)\Hornbill\Supportworks Client 7.6.0\swcli7.exe","4560","3040","""C:\Program Files (x86)\Hornbill\Supportworks Client 7.6.0\swcli7.exe"" ","8","1/28/2014 11:40:44 AM"
"SwMessenger.exe","C:\Program Files (x86)\Hornbill\Supportworks Client 7.6.0\SwMessenger.exe","9784","4560","SwMessenger.exe -h lonhswapp01 -u sunnychakraborty -x p9KXPYQuCwlq56QXYEp1CA==  ","8","1/28/2014 1:21:31 PM"
"ssh-agent.exe","C:\Users\Sunny Chakraborty\AppData\Local\GitHub\PortableGit_fed20eba68b3e238e49a47cdfed0a45783d93651\bin\ssh-agent.exe","12216","11524","C:\Users\Sunny Chakraborty\AppData\Local\GitHub\PortableGit_fed20eba68b3e238e49a47cdfed0a45783d93651\bin\ssh-agent.exe","8","1/28/2014 2:21:29 PM"
"powershell.exe","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\Powershell.exe","12592","10256","""C:\Windows\System32\WindowsPowerShell\v1.0\Powershell.exe"" -NoExit -ExecutionPolicy Unrestricted -File ""C:\Users\Sunny Chakraborty\AppData\Local\GitHub\PoshGit_8aecd991d8ccf3dc78b8cd397ee4e1595f8556d4\profile.example.ps1""","8","1/28/2014 2:43:17 PM"
"conhost.exe","C:\Windows\system32\conhost.exe","12960","580","\??\C:\Windows\system32\conhost.exe ""-35121596287784182-8410522841589070157-5019762501846670977-1133610437-597646270","8","1/28/2014 2:43:17 PM"
"powershell_ise.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe","4448","6780","powershell_ise ","8","1/28/2014 2:56:40 PM"
"notepad.exe","C:\Windows\SysWOW64\notepad.exe","3160","3676","""C:\Windows\System32\notepad.exe"" ""C:\downloads\Update-sysinternals.ps1""","8","1/28/2014 3:09:13 PM"
"conhost.exe","C:\Windows\system32\conhost.exe","12652","580","\??\C:\Windows\system32\conhost.exe ""-1248842860212898294374509861-992857541-1203837408-17765077831570143722752674399","8","1/28/2014 3:21:00 PM"
"cmd.exe","C:\Windows\system32\cmd.exe","15148","3040","""C:\Windows\system32\cmd.exe"" ","8","1/28/2014 3:35:37 PM"
"conhost.exe","C:\Windows\system32\conhost.exe","15012","580","\??\C:\Windows\system32\conhost.exe ""36360377814942340928151491011540448868750663326-1286134591-1574095176-2061490399","8","1/28/2014 3:35:37 PM"
"taskhost.exe","C:\Windows\system32\taskhost.exe","14200","692","""taskhost.exe""","8","1/28/2014 3:50:06 PM"
"ILSpy.exe","C:\ilspy\ILSpy.exe","13684","3040","""C:\ilspy\ILSpy.exe"" ","8","1/28/2014 3:51:19 PM"
"explorer.exe","C:\Windows\explorer.exe","3376","644","explorer.exe","8","1/28/2014 4:21:11 PM"
"chrome.exe","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","7448","3676","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --lang=en-US --force-fieldtrials=""AutocompleteDynamicTrial_2/PP_EnableZeroSuggest_R3_Stable_ArmC/BrowserPreReadExperiment/100-pct-default/ChromeSuggestions/Default/DeferBackgroundExtensionCreation/RateLimited/EmbeddedSearch/Group7 pct:10g stable:pp1 use_cacheable_ntp:1 espv:210 suppress_on_srp:1/ManagedModeLaunch/Active/OmniboxBundledExperimentV1/Standard/Prerender/PrerenderEnabled/PrerenderFromOmnibox/OmniboxPrerenderEnabled/PrerenderLocalPredictorSpec/LocalPredictor=Disabled/ShowAppLauncherPromo/ShowPromoUntilDismissed/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-Dynamic-Uniformity-Trial/Group3/UMA-New-Install-Uniformity-Trial/Experiment/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_08/UMA-Uniformity-Trial-1-Percent/group_32/UMA-Uniformity-Trial-10-Percent/default/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_03/UMA-Uniformity-Trial-5-Percent/group_07/UMA-Uniformity-Trial-50-Percent/group_01/"" --enable-threaded-compositing --enable-delegated-renderer --enable-deadline-scheduling --extension-process --disable-client-side-phishing-detection --renderer-print-preview --disable-html-notifications --enable-software-compositing --channel=""3676.122.262419329\152462508"" /prefetch:673131151","8","1/29/2014 12:55:11 AM"
"OUTLOOK.EXE","C:\Program Files (x86)\Microsoft Office\Office14\OUTLOOK.EXE","7264","3376","""C:\Program Files (x86)\Microsoft Office\Office14\OUTLOOK.EXE"" ","8","1/29/2014 9:21:16 AM"
